1;Miguel Sousa;miguel.sousa@gmail.com;18 9 9966-6253;17/04/1990
2;Carlos Martins;carlos.martins@gmail.com;17 9 9974-0754;14/10/1984
3;Ana Castro;ana.castro@gmail.com;13 9 9985-1207;18/05/1987
4;Julia Goncalves;julia.goncalves@gmail.com;11 9 9986-0593;14/02/1994
5;Tiago Carvalho;tiago.carvalho@gmail.com;14 9 9998-4729;28/04/1993
6;Maria Gomes;maria.gomes@gmail.com;19 9 9993-1530;21/10/1992
7;Diego Lima;diego.lima@gmail.com;15 9 9968-9342;17/06/1995
8;Lucas Ferreira;lucas.ferreira@gmail.com;18 9 9986-5216;21/10/1990
9;Kai Alves;kai.alves@gmail.com;16 9 9966-6214;05/11/1999
10;Matheus Cunha;matheus.cunha@gmail.com;18 9 9960-1929;19/12/1985
11;Manuela Oliveira;manuela.oliveira@gmail.com;12 9 9971-1298;20/07/1989
12;Tania Azevedo;tania.azevedo@gmail.com;15 9 9966-9127;13/06/1990
13;Melissa Fernandes;melissa.fernandes@gmail.com;17 9 9963-1906;04/06/1984
14;Renan Carvalho;renan.carvalho@gmail.com;14 9 9994-9797;11/04/1997
15;Rafael Azevedo;rafael.azevedo@gmail.com;11 9 9990-3932;30/07/2001
16;Lara Rodrigues;lara.rodrigues@gmail.com;17 9 9976-7417;19/08/1986
17;Nicole Alves;nicole.alves@gmail.com;18 9 9961-2463;14/11/1997
18;Marina Barbosa;marina.barbosa@gmail.com;17 9 9960-0497;13/04/1997
19;Marisa Santos;marisa.santos@gmail.com;18 9 9982-3750;20/01/1999
20;Paulo Costa;paulo.costa@gmail.com;17 9 9997-3629;03/05/1985
21;Renan Carvalho;renan.carvalho@gmail.com;13 9 9961-3988;25/04/1988
22;Sofia Silva;sofia.silva@gmail.com;17 9 9976-4924;18/08/1996
23;Victor Rodrigues;victor.rodrigues@gmail.com;14 9 9965-2868;28/11/1988
24;Thais Carvalho;thais.carvalho@gmail.com;12 9 9987-2849;23/07/1984
25;Clara Goncalves;clara.goncalves@gmail.com;19 9 9983-0281;07/09/1989
26;Arthur Almeida;arthur.almeida@gmail.com;12 9 9989-5863;15/07/1989
27;Matilde Silva;matilde.silva@gmail.com;19 9 9963-2701;14/01/1992
28;Anna Martins;anna.martins@gmail.com;13 9 9990-0233;17/05/1986
29;Carolina Martins;carolina.martins@gmail.com;16 9 9975-3690;12/08/2001
30;Beatriz Carvalho;beatriz.carvalho@gmail.com;18 9 9990-4878;11/05/1992
31;Leonor Azevedo;leonor.azevedo@gmail.com;18 9 9967-3530;24/12/1998
32;Leonor Correia;leonor.correia@gmail.com;19 9 9994-4264;26/10/1997
33;Carlos Rocha;carlos.rocha@gmail.com;11 9 9972-5932;21/08/1995
34;Eduarda Lima;eduarda.lima@gmail.com;12 9 9965-9035;24/02/1992
35;Ana Barros;ana.barros@gmail.com;15 9 9997-8461;30/06/1992
36;Gabrielly Cunha;gabrielly.cunha@gmail.com;19 9 9978-6264;30/12/1989
37;Otavio Almeida;otavio.almeida@gmail.com;14 9 9980-8832;03/11/1986
38;Thiago Cunha;thiago.cunha@gmail.com;17 9 9996-2375;07/10/1989
39;Bruno Lima;bruno.lima@gmail.com;13 9 9975-7267;24/07/1999
40;Emilly Pinto;emilly.pinto@gmail.com;17 9 9971-8651;12/03/2001
41;Erick Cardoso;erick.cardoso@gmail.com;19 9 9964-7354;11/08/1990
42;Carolina Pereira;carolina.pereira@gmail.com;12 9 9982-2435;20/07/2000
43;Rafaela Sousa;rafaela.sousa@gmail.com;19 9 9977-8966;24/04/2000
44;Luis Sousa;luis.sousa@gmail.com;19 9 9974-2283;18/10/1992
45;Gustavo Dias;gustavo.dias@gmail.com;16 9 9961-3069;19/06/1983
46;Diego Ferreira;diego.ferreira@gmail.com;12 9 9991-9666;17/07/1993
47;Joao Santos;joao.santos@gmail.com;12 9 9998-6869;23/08/1995
48;Gabrielle Costa;gabrielle.costa@gmail.com;11 9 9998-3456;26/06/1989
49;Brenda Cavalcanti;brenda.cavalcanti@gmail.com;12 9 9962-4462;02/03/1988
50;Marisa Oliveira;marisa.oliveira@gmail.com;17 9 9980-8901;31/05/1985
51;Erick Martins;erick.martins@gmail.com;12 9 9961-0171;15/07/1994
52;Davi Martins;davi.martins@gmail.com;12 9 9961-7113;13/01/1996
53;Matheus Oliveira;matheus.oliveira@gmail.com;13 9 9961-2631;02/03/1994
54;Luiza Castro;luiza.castro@gmail.com;14 9 9971-9211;03/11/1985
55;Igor Santos;igor.santos@gmail.com;13 9 9995-5084;29/05/1983
56;Isabelle Correia;isabelle.correia@gmail.com;11 9 9965-2271;03/03/2000
57;Matheus Castro;matheus.castro@gmail.com;11 9 9999-5444;01/05/2000
58;Leila Gomes;leila.gomes@gmail.com;17 9 9977-3517;02/11/1991
59;Enzo Cunha;enzo.cunha@gmail.com;19 9 9992-2551;19/03/1988
60;Luana Gomes;luana.gomes@gmail.com;15 9 9964-6328;12/06/1986
61;Gustavo Carvalho;gustavo.carvalho@gmail.com;14 9 9974-9735;13/07/1996
62;Luan Castro;luan.castro@gmail.com;13 9 9996-1546;28/04/1983
63;Andre Goncalves;andre.goncalves@gmail.com;13 9 9969-8858;22/10/1988
64;Rafael Cavalcanti;rafael.cavalcanti@gmail.com;15 9 9966-7405;22/08/1988
65;Igor Castro;igor.castro@gmail.com;18 9 9970-5094;24/01/1983
66;Danilo Costa;danilo.costa@gmail.com;19 9 9969-7375;24/06/1987
67;Rebeca Santos;rebeca.santos@gmail.com;18 9 9981-0748;21/12/1989
68;Caio Azevedo;caio.azevedo@gmail.com;17 9 9972-0015;23/06/1992
69;Andre Alves;andre.alves@gmail.com;17 9 9981-9566;19/10/1993
70;Eduarda Araujo;eduarda.araujo@gmail.com;17 9 9964-7152;07/01/1996
71;Breno Cunha;breno.cunha@gmail.com;14 9 9969-6710;03/12/1985
72;Camila Ferreira;camila.ferreira@gmail.com;15 9 9981-4784;31/03/1989
73;Leonardo Oliveira;leonardo.oliveira@gmail.com;16 9 9961-4636;20/12/1997
74;Vinicius Silva;vinicius.silva@gmail.com;14 9 9980-6419;02/01/1999
75;Sarah Rodrigues;sarah.rodrigues@gmail.com;17 9 9988-5000;13/12/1989
76;Luiza Gomes;luiza.gomes@gmail.com;11 9 9996-3654;26/11/1998
77;Gabrielly Lima;gabrielly.lima@gmail.com;19 9 9967-9261;23/10/1997
78;Amanda Ribeiro;amanda.ribeiro@gmail.com;15 9 9967-5834;14/10/1992
79;Leonor Pereira;leonor.pereira@gmail.com;16 9 9961-9415;19/02/1992
80;Tomas Barbosa;tomas.barbosa@gmail.com;14 9 9960-7671;06/04/1994
81;Samuel Cunha;samuel.cunha@gmail.com;12 9 9989-3557;06/08/1983
82;Maria Pinto;maria.pinto@gmail.com;11 9 9978-2004;17/10/1992
83;Arthur Sousa;arthur.sousa@gmail.com;13 9 9990-0728;04/04/1996
84;Melissa Goncalves;melissa.goncalves@gmail.com;19 9 9976-1785;30/12/1991
85;Marcos Martins;marcos.martins@gmail.com;18 9 9983-1945;20/01/1994
86;Marcos Cardoso;marcos.cardoso@gmail.com;17 9 9974-7763;17/08/1998
